検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
27106,2,ＡＴＯ装置-地上子_2年検査_浦安,NULL,2023/02/20,20757,3041,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,ＡＴＯ装置-地上子_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,292,05_信通【信号】,06_ＡＴＯ装置,01_地上子,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,ＡＴＯ装置-地上子_2年検査,0,PTF01,規定改定のため、5年を追加したが、2年を削除できないため残置,ＡＴＯ装置-地上子,東西線,NULL,NULL,NULL,27106,0,2023-04-01 00:00:00.000,1,NULL
27107,2,その他の装置-合図器-トイレ合図器_1年検査_浦安,NULL,2022/05/12,20758,3158,9,1年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,その他の装置-合図器-トイレ合図器_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,403,06_信通【通信】,08_その他の装置,09_合図器,08_トイレ合図器,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-合図器-トイレ合図器_1年検査,0,PWMH1,,その他の装置-合図器-トイレ合図器,東西線,NULL,NULL,NULL,27107,0,2023-04-01 00:00:00.000,1,NULL
27108,2,その他の装置-合図器-非常停止合図器_2年検査_浦安,NULL,2007/02/13,20759,3152,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,その他の装置-合図器-非常停止合図器_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,397,06_信通【通信】,08_その他の装置,09_合図器,03_非常停止合図器,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-合図器-非常停止合図器_2年検査,0,PWMB2,,その他の装置-合図器-非常停止合図器,東西線,NULL,NULL,NULL,27108,0,2023-04-01 00:00:00.000,1,NULL
27109,2,その他の装置-施設情報管理装置-現場装置_2年検査_浦安,NULL,2011/06/25,20760,3162,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,通信機器室,NULL,1,0,NULL,NULL,0,NULL,その他の装置-施設情報管理装置-現場装置_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,410,06_信通【通信】,08_その他の装置,11_施設情報管理装置,02_現場装置,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-施設情報管理装置-現場装置_2年検査,0,PWWB1,,その他の装置-施設情報管理装置-現場装置,東西線,NULL,NULL,NULL,27109,0,2023-04-01 00:00:00.000,1,NULL
27110,2,その他の装置-電源装置-無停電電源装置_2年検査_浦安,NULL,2007/06/22,20761,3144,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,その他の装置-電源装置-無停電電源装置_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,385,06_信通【通信】,08_その他の装置,03_電源装置,03_無停電電源装置,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-電源装置-無停電電源装置_2年検査,0,PWFD4,,その他の装置-電源装置-無停電電源装置,東西線,NULL,NULL,NULL,27110,0,2023-04-01 00:00:00.000,1,NULL
27111,2,その他の装置-電源装置-無停電電源装置_5年検査_浦安,NULL,2007/06/22,20761,3145,15,5年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,その他の装置-電源装置-無停電電源装置_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,385,06_信通【通信】,08_その他の装置,03_電源装置,03_無停電電源装置,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-電源装置-無停電電源装置_5年検査,0,PWFD3,,その他の装置-電源装置-無停電電源装置,東西線,NULL,NULL,NULL,27111,0,2023-04-01 00:00:00.000,1,NULL
27112,2,その他の装置-標識装置-出発反応標識_3年_浦安,NULL,2009/05/05,20762,3067,13,3年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,その他の装置-標識装置-出発反応標識_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,306,05_信通【信号】,11_その他の装置,04_標識装置,01_出発反応標識,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-標識装置-出発反応標識_3年,0,PTQ10,,その他の装置-標識装置-出発反応標識,東西線,NULL,NULL,NULL,27112,0,2023-04-01 00:00:00.000,1,NULL
27113,2,その他の装置-風速監視装置-現場機器（送信装置、風向風速発信器）_2.5年検査_浦安,NULL,2006/03/06,20763,3148,12,2.5年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,送信装置,NULL,2,0,NULL,NULL,0,NULL,その他の装置-風速監視装置-現場機器（送信装置、風向風速発信器）_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,393,06_信通【通信】,08_その他の装置,07_風速監視装置,02_現場機器（送信装置、風向風速発信器）,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-風速監視装置-現場機器（送信装置、風向風速発信器）_2.5年検査,0,PWKB1,,その他の装置-風速監視装置-現場機器（送信装置、風向風速発信器）,東西線,NULL,NULL,NULL,27113,0,2023-04-01 00:00:00.000,1,NULL
27114,2,その他の装置-列車接近警報装置_1年検査_浦安,NULL,2009/07/03,20764,3080,9,1年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,その他の装置-列車接近警報装置_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,317,05_信通【信号】,11_その他の装置,11_列車接近警報装置,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-列車接近警報装置_1年検査,0,PUJ10,,その他の装置-列車接近警報装置,東西線,NULL,NULL,NULL,27114,0,2023-04-01 00:00:00.000,1,NULL
27115,2,その他の装置-列車接近警報装置_2年検査_浦安,NULL,2009/07/03,20764,3081,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,その他の装置-列車接近警報装置_浦安_東西線信通区,4,東西線,浦安,66,鉄道本部電気部信通区,東西線信通区,317,05_信通【信号】,11_その他の装置,11_列車接近警報装置,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,その他の装置-列車接近警報装置_2年検査,0,PUJA2,,その他の装置-列車接近警報装置,東西線,NULL,NULL,NULL,27115,0,2023-04-01 00:00:00.000,1,NULL
