検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
15051,2,電車線路設備-剛体電車線及び付属装置（トロリ線残存直径）_1年検査_本駒込駅～駒込（Ｂ線）,NULL,2023/06/15,10948,2042,9,1年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,2024-04-04 16:03:07.127,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,電車線路設備-剛体電車線及び付属装置-トロリ線_本駒込駅～駒込（Ｂ線）_南北線電機区,8,南北線,本駒込駅～駒込（Ｂ線）,62,鉄道本部電気部電機区,南北線電機区,139,02_電力【電路】,02_電車線路設備,04_剛体電車線及び付属装置,05_トロリ線,NULL,NULL,0,NULL,NULL,0,NULL,0,電車線路設備-剛体電車線及び付属装置（トロリ線残存直径）_1年検査,0,PPC29,,電車線路設備-剛体電車線及び付属装置（トロリ線残存直径）,南北線,NULL,NULL,NULL,15051,0,2024-04-04 16:03:07.117,411,南　智久
15052,2,受送・配電線路設備（設備全般）_2か月検査_目黒駅～白金台（Ａ線）,NULL,2008/04/15,10949,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_目黒駅～白金台（Ａ線）_南北線電機区,8,南北線,目黒駅～白金台（Ａ線）,62,鉄道本部電気部電機区,南北線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,南北線,NULL,NULL,NULL,15052,0,2023-04-01 00:00:00.000,1,NULL
15053,2,受送・配電線路設備（設備全般）_2か月検査_白金台駅～白金高輪（Ａ線）,NULL,2008/04/15,10950,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_白金台駅～白金高輪（Ａ線）_南北線電機区,8,南北線,白金台駅～白金高輪（Ａ線）,62,鉄道本部電気部電機区,南北線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,南北線,NULL,NULL,NULL,15053,0,2023-04-01 00:00:00.000,1,NULL
15054,2,受送・配電線路設備（設備全般）_2か月検査_白金高輪駅～麻布十番（Ａ線）,NULL,2008/04/15,10951,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_白金高輪駅～麻布十番（Ａ線）_南北線電機区,8,南北線,白金高輪駅～麻布十番（Ａ線）,62,鉄道本部電気部電機区,南北線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,南北線,NULL,NULL,NULL,15054,0,2023-04-01 00:00:00.000,1,NULL
15055,2,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査_赤羽トンネル排水ポンプ室,NULL,2006/08/15,10952,2161,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,8,南北線,赤羽トンネル排水ポンプ室,62,鉄道本部電気部電機区,南北線電機区,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,0,NULL,NULL,0,NULL,0,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査,1,PKB05,,給排水機械設備-トンネル排水ポンプ-ポンプ,南北線,NULL,NULL,NULL,15055,0,2024-03-21 17:51:15.587,701,上野　洋平
15056,2,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査_赤羽トンネル排水ポンプ室,NULL,2006/08/15,10952,2162,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,8,南北線,赤羽トンネル排水ポンプ室,62,鉄道本部電気部電機区,南北線電機区,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,0,NULL,NULL,0,NULL,0,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査,1,PKB06,,給排水機械設備-トンネル排水ポンプ-付属装置,南北線,NULL,NULL,NULL,15056,0,2024-03-21 17:51:52.183,701,上野　洋平
15057,2,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査_神谷トンネル排水ポンプ室,NULL,2006/10/15,10953,2162,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,給排水機械設備-トンネル排水ポンプ_神谷トンネル排水ポンプ室_南北線電機区,8,南北線,神谷トンネル排水ポンプ室,62,鉄道本部電気部電機区,南北線電機区,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,0,NULL,NULL,0,NULL,0,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査,1,PKB06,,給排水機械設備-トンネル排水ポンプ-付属装置,南北線,NULL,NULL,NULL,15057,0,2024-03-21 17:59:32.337,701,上野　洋平
15058,2,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査_神谷トンネル排水ポンプ室,NULL,2006/10/15,10953,2163,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,給排水機械設備-トンネル排水ポンプ_神谷トンネル排水ポンプ室_南北線電機区,8,南北線,神谷トンネル排水ポンプ室,62,鉄道本部電気部電機区,南北線電機区,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,0,NULL,NULL,0,NULL,0,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査,1,PKB07,,給排水機械設備-トンネル排水ポンプ-その他（湧水量）,南北線,NULL,NULL,NULL,15058,0,2024-03-21 17:59:18.003,701,上野　洋平
15059,2,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査_赤羽トンネル排水ポンプ室,NULL,2006/08/15,10952,2163,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,8,南北線,赤羽トンネル排水ポンプ室,62,鉄道本部電気部電機区,南北線電機区,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,0,NULL,NULL,0,NULL,0,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査,1,PKB07,,給排水機械設備-トンネル排水ポンプ-その他（湧水量）,南北線,NULL,NULL,NULL,15059,0,2024-03-21 17:52:35.250,701,上野　洋平
15060,2,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査_王子車両基地トンネル排水ポンプ室,NULL,2018/07/15,10954,2161,11,2年(±5月),5,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,給排水機械設備-トンネル排水ポンプ_王子車両基地トンネル排水ポンプ室_南北線電機区,8,南北線,王子車両基地トンネル排水ポンプ室,62,鉄道本部電気部電機区,南北線電機区,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,0,NULL,NULL,0,NULL,0,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査,1,PKB05,,給排水機械設備-トンネル排水ポンプ-ポンプ,南北線,NULL,NULL,NULL,15060,0,2024-03-21 17:57:52.333,701,上野　洋平
