検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
20651,2,信号設備_2か月_鷺沼車両基地Ａブロック,NULL,2008/04/15,15338,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_鷺沼車両基地Ａブロック_半蔵門線信通区,7,半蔵門線,鷺沼車両基地Ａブロック,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20651,0,2024-05-02 14:51:41.437,661,石田　潤
20652,2,信号設備_2か月_鷺沼車両基地Ｂブロック,NULL,2008/04/15,15339,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_鷺沼車両基地Ｂブロック_半蔵門線信通区,7,半蔵門線,鷺沼車両基地Ｂブロック,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20652,0,2024-05-02 14:51:41.437,661,石田　潤
38747,2,信号設備_2か月_渋谷～表参道ＡＢ線,NULL,2008/03/15,29784,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_渋谷～表参道ＡＢ線_半蔵門線信通区,7,半蔵門線,渋谷～表参道ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,,,0,,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20653,0,2024-05-02 14:51:41.437,661,石田　潤
20653,2,信号設備_2か月_渋谷（池尻方）～表参道ＡＢ線,NULL,2008/03/15,15340,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_渋谷（池尻方）～表参道ＡＢ線_半蔵門線信通区,7,半蔵門線,渋谷（池尻方）～表参道ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,,,0,,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20654,0,2024-05-02 14:51:41.437,661,石田　潤
20654,2,信号設備_2か月_表参道～青山一丁目ＡＢ線,NULL,2008/03/15,15341,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_表参道～青山一丁目ＡＢ線_半蔵門線信通区,7,半蔵門線,表参道～青山一丁目ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20655,0,2024-05-02 14:51:41.437,661,石田　潤
20655,2,信号設備_2か月_青山一丁目～永田町ＡＢ線,NULL,2008/03/15,15342,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_青山一丁目～永田町ＡＢ線_半蔵門線信通区,7,半蔵門線,青山一丁目～永田町ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20656,0,2024-05-02 14:51:41.437,661,石田　潤
20656,2,信号設備_2か月_永田町～半蔵門ＡＢ線,NULL,2008/03/15,15343,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_永田町～半蔵門ＡＢ線_半蔵門線信通区,7,半蔵門線,永田町～半蔵門ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20657,0,2024-05-02 14:51:41.437,661,石田　潤
20657,2,信号設備_2か月_半蔵門～九段下ＡＢ線・半蔵門１１Ｔ区間,NULL,2008/03/15,15344,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_半蔵門～九段下ＡＢ線・半蔵門１１Ｔ区間_半蔵門線信通区,7,半蔵門線,半蔵門～九段下ＡＢ線・半蔵門１１Ｔ区間,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20658,0,2024-05-02 14:51:41.437,661,石田　潤
20658,2,信号設備_2か月_神保町～大手町ＡＢ線,NULL,2008/03/15,15345,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_神保町～大手町ＡＢ線_半蔵門線信通区,7,半蔵門線,神保町～大手町ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20659,0,2024-05-02 14:51:41.437,661,石田　潤
20659,2,信号設備_2か月_大手町～三越前ＡＢ線,NULL,2008/04/15,15346,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_大手町～三越前ＡＢ線_半蔵門線信通区,7,半蔵門線,大手町～三越前ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20660,0,2024-05-02 14:51:41.437,661,石田　潤
20660,2,信号設備_2か月_三越前～水天宮前ＡＢ線,NULL,2008/04/15,15347,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_三越前～水天宮前ＡＢ線_半蔵門線信通区,7,半蔵門線,三越前～水天宮前ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20661,0,2024-05-02 14:51:41.437,661,石田　潤
20661,2,信号設備_2か月_水天宮前～清澄白河ＡＢ線,NULL,2008/04/15,15348,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_水天宮前～清澄白河ＡＢ線_半蔵門線信通区,7,半蔵門線,水天宮前～清澄白河ＡＢ線,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20662,0,2024-05-02 14:51:41.437,661,石田　潤
20662,2,信号設備_2か月_清澄白河～住吉ＡＢ線・清澄８Ｔ／８ＬＴ区間,NULL,2008/04/15,15349,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_清澄白河～住吉ＡＢ線・清澄８Ｔ／８ＬＴ区間_半蔵門線信通区,7,半蔵門線,清澄白河～住吉ＡＢ線・清澄８Ｔ／８ＬＴ区間,69,鉄道本部電気部信通区,半蔵門線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,半蔵門線,NULL,NULL,NULL,20663,0,2024-05-02 14:51:41.437,661,石田　潤
