検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
17808,2,信号設備_2か月_池袋～新大塚,NULL,2008/03/15,13001,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_池袋～新大塚_丸ノ内線信通区,2,丸ノ内線,池袋～新大塚,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17808,0,2023-04-01 00:00:00.000,1,NULL
17809,2,信号設備_2か月_新大塚～茗荷谷,NULL,2008/03/15,13002,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_新大塚～茗荷谷_丸ノ内線信通区,2,丸ノ内線,新大塚～茗荷谷,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17809,0,2023-04-01 00:00:00.000,1,NULL
17810,2,信号設備_2か月_茗荷谷～後楽園,NULL,2008/03/15,13003,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_茗荷谷～後楽園_丸ノ内線信通区,2,丸ノ内線,茗荷谷～後楽園,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17810,0,2023-04-01 00:00:00.000,1,NULL
17811,2,信号設備_2か月_後楽園～本郷三丁目,NULL,2008/03/15,13004,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_後楽園～本郷三丁目_丸ノ内線信通区,2,丸ノ内線,後楽園～本郷三丁目,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17811,0,2023-04-01 00:00:00.000,1,NULL
17812,2,信号設備_2か月_本郷三丁目～御茶ノ水,NULL,2008/04/15,13005,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_本郷三丁目～御茶ノ水_丸ノ内線信通区,2,丸ノ内線,本郷三丁目～御茶ノ水,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17812,0,2023-04-01 00:00:00.000,1,NULL
17813,2,信号設備_2か月_御茶ノ水～淡路町,NULL,2008/04/15,13006,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,定期検査は昼間の偶数月実施、臨時検査（御茶ノ水橋梁部）は夜間の奇数月実施,NULL,3,0,NULL,NULL,0,NULL,信号設備_御茶ノ水～淡路町_丸ノ内線信通区,2,丸ノ内線,御茶ノ水～淡路町,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17813,0,2023-04-01 00:00:00.000,1,NULL
17814,2,信号設備_2か月_淡路町～大手町,NULL,2008/04/15,13007,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_淡路町～大手町_丸ノ内線信通区,2,丸ノ内線,淡路町～大手町,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17814,0,2023-04-01 00:00:00.000,1,NULL
17815,2,信号設備_2か月_大手町～東京,NULL,2008/04/15,13008,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_大手町～東京_丸ノ内線信通区,2,丸ノ内線,大手町～東京,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17815,0,2023-04-01 00:00:00.000,1,NULL
17816,2,信号設備_2か月_東京～銀座,NULL,2008/03/15,13009,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_東京～銀座_丸ノ内線信通区,2,丸ノ内線,東京～銀座,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17816,0,2023-04-01 00:00:00.000,1,NULL
17817,2,信号設備_2か月_銀座～霞ケ関,NULL,2008/03/15,13010,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_銀座～霞ケ関_丸ノ内線信通区,2,丸ノ内線,銀座～霞ケ関,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17817,0,2023-04-01 00:00:00.000,1,NULL
17818,2,信号設備_2か月_霞ケ関～国会議事堂前,NULL,2008/03/15,13011,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_霞ケ関～国会議事堂前_丸ノ内線信通区,2,丸ノ内線,霞ケ関～国会議事堂前,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17818,0,2023-04-01 00:00:00.000,1,NULL
17819,2,信号設備_2か月_国会議事堂前～赤坂見附,NULL,2008/03/15,13012,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,2,0,NULL,NULL,0,NULL,信号設備_国会議事堂前～赤坂見附_丸ノ内線信通区,2,丸ノ内線,国会議事堂前～赤坂見附,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17819,0,2023-04-01 00:00:00.000,1,NULL
17820,2,信号設備_2か月_赤坂見附～四ツ谷,NULL,2008/03/15,13013,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,2,0,NULL,NULL,0,NULL,信号設備_赤坂見附～四ツ谷_丸ノ内線信通区,2,丸ノ内線,赤坂見附～四ツ谷,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17820,0,2023-04-01 00:00:00.000,1,NULL
17821,2,信号設備_2か月_四ツ谷～四谷三丁目,NULL,2008/03/15,13014,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_四ツ谷～四谷三丁目_丸ノ内線信通区,2,丸ノ内線,四ツ谷～四谷三丁目,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17821,0,2023-04-01 00:00:00.000,1,NULL
17822,2,信号設備_2か月_四谷三丁目～新宿御苑前,NULL,2008/03/15,13015,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_四谷三丁目～新宿御苑前_丸ノ内線信通区,2,丸ノ内線,四谷三丁目～新宿御苑前,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17822,0,2023-04-01 00:00:00.000,1,NULL
17823,2,信号設備_2か月_新宿御苑前～新宿三丁目,NULL,2008/03/15,13016,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_新宿御苑前～新宿三丁目_丸ノ内線信通区,2,丸ノ内線,新宿御苑前～新宿三丁目,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17823,0,2023-04-01 00:00:00.000,1,NULL
17824,2,信号設備_2か月_新宿三丁目～新宿,NULL,2008/03/15,13017,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,2,0,NULL,NULL,0,NULL,信号設備_新宿三丁目～新宿_丸ノ内線信通区,2,丸ノ内線,新宿三丁目～新宿,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17824,0,2023-04-01 00:00:00.000,1,NULL
17825,2,信号設備_2か月_新宿～西新宿,NULL,2008/04/15,13018,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_新宿～西新宿_丸ノ内線信通区,2,丸ノ内線,新宿～西新宿,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17825,0,2023-04-01 00:00:00.000,1,NULL
17826,2,信号設備_2か月_西新宿～中野坂上,NULL,2008/04/15,13019,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_西新宿～中野坂上_丸ノ内線信通区,2,丸ノ内線,西新宿～中野坂上,64,鉄道本部電気部信通区,丸ノ内線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,丸ノ内線,NULL,NULL,NULL,17826,0,2023-04-01 00:00:00.000,1,NULL
