検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
13740,2,受送・配電線路設備（設備全般）_2か月検査_渋谷～表参道駅Ａ線,NULL,2018/10/19,9912,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_渋谷～表参道駅Ａ線_半蔵門線電機区,7,半蔵門線,渋谷～表参道駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13740,0,2023-05-30 21:11:47.547,580,立花　悠輝
13741,2,受送・配電線路設備（設備全般）_2か月検査_表参道～青山一丁目駅Ａ線,NULL,2018/10/19,9913,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_表参道～青山一丁目駅Ａ線_半蔵門線電機区,7,半蔵門線,表参道～青山一丁目駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13741,0,2023-05-30 21:11:47.547,580,立花　悠輝
13742,2,受送・配電線路設備（設備全般）_2か月検査_青山一丁目～永田町駅Ａ線,NULL,2018/10/19,9914,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_青山一丁目～永田町駅Ａ線_半蔵門線電機区,7,半蔵門線,青山一丁目～永田町駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13742,0,2023-05-30 21:11:47.547,580,立花　悠輝
13743,2,受送・配電線路設備（設備全般）_2か月検査_永田町～半蔵門駅Ａ線,NULL,2018/10/19,9915,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_永田町～半蔵門駅Ａ線_半蔵門線電機区,7,半蔵門線,永田町～半蔵門駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13743,0,2023-05-30 21:11:47.547,580,立花　悠輝
13744,2,受送・配電線路設備（設備全般）_2か月検査_半蔵門～九段下駅Ａ線,NULL,2018/10/19,9916,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_半蔵門～九段下駅Ａ線_半蔵門線電機区,7,半蔵門線,半蔵門～九段下駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13744,0,2023-05-30 21:11:47.547,580,立花　悠輝
13745,2,受送・配電線路設備（設備全般）_2か月検査_九段下～神保町駅Ａ線,NULL,2018/10/19,9917,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_九段下～神保町駅Ａ線_半蔵門線電機区,7,半蔵門線,九段下～神保町駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13745,0,2023-05-30 21:11:47.547,580,立花　悠輝
13746,2,受送・配電線路設備（設備全般）_2か月検査_神保町～大手町駅Ａ線,NULL,2018/10/19,9918,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_神保町～大手町駅Ａ線_半蔵門線電機区,7,半蔵門線,神保町～大手町駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13746,0,2023-05-30 21:11:47.547,580,立花　悠輝
13747,2,受送・配電線路設備（設備全般）_2か月検査_大手町～三越前駅Ａ線,NULL,2018/10/19,9919,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_大手町～三越前駅Ａ線_半蔵門線電機区,7,半蔵門線,大手町～三越前駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13747,0,2023-05-30 21:11:47.547,580,立花　悠輝
13748,2,受送・配電線路設備（設備全般）_2か月検査_三越前～水天宮前駅Ａ線,NULL,2018/10/19,9920,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_三越前～水天宮前駅Ａ線_半蔵門線電機区,7,半蔵門線,三越前～水天宮前駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13748,0,2023-05-30 21:11:47.547,580,立花　悠輝
13749,2,受送・配電線路設備（設備全般）_2か月検査_水天宮前～清澄白河駅Ａ線,NULL,2008/04/05,9921,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_水天宮前～清澄白河駅Ａ線_半蔵門線電機区,7,半蔵門線,水天宮前～清澄白河駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13749,0,2023-05-30 21:11:47.547,580,立花　悠輝
13750,2,受送・配電線路設備（設備全般）_2か月検査_清澄白河～住吉駅Ａ線,NULL,2008/04/05,9922,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_清澄白河～住吉駅Ａ線_半蔵門線電機区,7,半蔵門線,清澄白河～住吉駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13750,0,2023-05-30 21:11:47.547,580,立花　悠輝
13751,2,受送・配電線路設備（設備全般）_2か月検査_住吉～錦糸町駅Ａ線,NULL,2008/04/05,9923,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_住吉～錦糸町駅Ａ線_半蔵門線電機区,7,半蔵門線,住吉～錦糸町駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13751,0,2023-05-30 21:11:47.547,580,立花　悠輝
13752,2,受送・配電線路設備（設備全般）_2か月検査_錦糸町～押上駅Ａ線,NULL,2008/04/05,9924,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_錦糸町～押上駅Ａ線_半蔵門線電機区,7,半蔵門線,錦糸町～押上駅Ａ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13752,0,2023-05-30 21:11:47.547,580,立花　悠輝
13753,2,受送・配電線路設備（設備全般）_2か月検査_渋谷～表参道駅Ｂ線,NULL,2018/09/19,9925,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_渋谷～表参道駅Ｂ線_半蔵門線電機区,7,半蔵門線,渋谷～表参道駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13753,0,2023-05-30 21:11:47.547,580,立花　悠輝
13754,2,受送・配電線路設備（設備全般）_2か月検査_表参道～青山一丁目駅Ｂ線,NULL,2018/09/19,9926,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_表参道～青山一丁目駅Ｂ線_半蔵門線電機区,7,半蔵門線,表参道～青山一丁目駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13754,0,2023-05-30 21:11:47.547,580,立花　悠輝
13755,2,受送・配電線路設備（設備全般）_2か月検査_青山一丁目～永田町駅Ｂ線,NULL,2018/09/19,9927,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_青山一丁目～永田町駅Ｂ線_半蔵門線電機区,7,半蔵門線,青山一丁目～永田町駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13755,0,2023-05-30 21:11:47.547,580,立花　悠輝
13756,2,受送・配電線路設備（設備全般）_2か月検査_永田町～半蔵門駅Ｂ線,NULL,2018/09/19,9928,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_永田町～半蔵門駅Ｂ線_半蔵門線電機区,7,半蔵門線,永田町～半蔵門駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13756,0,2023-05-30 21:11:47.547,580,立花　悠輝
13757,2,受送・配電線路設備（設備全般）_2か月検査_半蔵門～九段下駅Ｂ線,NULL,2018/09/19,9929,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_半蔵門～九段下駅Ｂ線_半蔵門線電機区,7,半蔵門線,半蔵門～九段下駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13757,0,2023-05-30 21:11:47.547,580,立花　悠輝
13758,2,受送・配電線路設備（設備全般）_2か月検査_九段下～神保町駅Ｂ線,NULL,2018/09/19,9930,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_九段下～神保町駅Ｂ線_半蔵門線電機区,7,半蔵門線,九段下～神保町駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13758,0,2023-05-30 21:11:47.547,580,立花　悠輝
13759,2,受送・配電線路設備（設備全般）_2か月検査_神保町～大手町駅Ｂ線,NULL,2018/09/19,9931,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_神保町～大手町駅Ｂ線_半蔵門線電機区,7,半蔵門線,神保町～大手町駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13759,0,2023-05-30 21:11:47.547,580,立花　悠輝
13760,2,受送・配電線路設備（設備全般）_2か月検査_大手町～三越前駅Ｂ線,NULL,2018/09/19,9932,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_大手町～三越前駅Ｂ線_半蔵門線電機区,7,半蔵門線,大手町～三越前駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13760,0,2023-05-30 21:11:47.547,580,立花　悠輝
13761,2,受送・配電線路設備（設備全般）_2か月検査_三越前～水天宮前駅Ｂ線,NULL,2018/09/19,9933,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_三越前～水天宮前駅Ｂ線_半蔵門線電機区,7,半蔵門線,三越前～水天宮前駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13761,0,2023-05-30 21:11:47.547,580,立花　悠輝
13762,2,受送・配電線路設備（設備全般）_2か月検査_水天宮前～清澄白河駅Ｂ線,NULL,2008/03/05,9934,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_水天宮前～清澄白河駅Ｂ線_半蔵門線電機区,7,半蔵門線,水天宮前～清澄白河駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13762,0,2023-05-30 21:11:47.547,580,立花　悠輝
13763,2,受送・配電線路設備（設備全般）_2か月検査_清澄白河～住吉駅Ｂ線,NULL,2008/03/05,9935,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_清澄白河～住吉駅Ｂ線_半蔵門線電機区,7,半蔵門線,清澄白河～住吉駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13763,0,2023-05-30 21:11:47.547,580,立花　悠輝
13764,2,受送・配電線路設備（設備全般）_2か月検査_住吉～錦糸町駅Ｂ線,NULL,2008/03/05,9936,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_住吉～錦糸町駅Ｂ線_半蔵門線電機区,7,半蔵門線,住吉～錦糸町駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13764,0,2023-05-30 21:11:47.547,580,立花　悠輝
13765,2,受送・配電線路設備（設備全般）_2か月検査_錦糸町～押上駅Ｂ線,NULL,2008/03/05,9937,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_錦糸町～押上駅Ｂ線_半蔵門線電機区,7,半蔵門線,錦糸町～押上駅Ｂ線,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13765,0,2023-05-30 21:11:47.547,580,立花　悠輝
13766,2,受送・配電線路設備（設備全般）_2か月検査_鷺沼車両基地,NULL,2008/04/15,9938,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_鷺沼車両基地_半蔵門線電機区,7,半蔵門線,鷺沼車両基地,61,鉄道本部電気部電機区,半蔵門線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,半蔵門線,NULL,NULL,NULL,13766,0,2023-05-30 21:11:47.547,580,立花　悠輝
